,Company,Job_title,Term,Start_time,Duration,Location,Job_description,Job_responsibilities,Required_qualifications,Salary_Renumeration,Opening_date,Application_deadline,Number_of_job_posting_retrivals,Job_link,Industry
37,"Health Project Implementation Unit State Agency, MOH RA",Civil Engineering Works Coordinator,Full time,,,"Yerevan, Armenia","Civil Engineering Works Coordinator will be responsible for the technical supervision of civil works in accordance with approved layouts, supervisory inspection of construction norms and rules, supervisory measurements, verification of actual construction and assembly works and volumes of works envisaged in the project documentation, etc.",,"University degree in Architectural Engineering; At least 3 years of work experience; work experience within the framework of World Bank funded projects or other projects financed by international organizations is desirable; Knowledge of relevant legislation; Knowledge of Armenian and English languages; Computer literacy: Microsoft Office, Outlook, Internet Explorer; working skills with ""Mulberry"" system is a plus; Good communication skills, individual and team work abilities.",Competitive,2018-09-13,2018-10-12,670,https://www.careercenter.am/ccdspann.php?id=32723,Other
38,Baker Tilly Armenia CJSC,Auditor,Full time,ASAP,Permanent,"Yerevan, Armenia",Baker Tilly Armenia CJSC is looking for a candidate for the position of Auditor.,"Participate in audit engagements, audit of financial statements; Review the clients' accounting system and internal control system; Prepare audit reports; Carry out audit tests, analytical procedures; Determine or participate in determining audit procedures necessary to achieve the desired audit results; Perform audit work assigned in a professional manner, in accordance with approved work program; Obtain, analyze and appraise evidentiary data as a basis for an informed, objective opinion on the adequacy and effectiveness of the system of controls; Report audit findings and make recommendations for the correction of noted control deficiencies.","Higher education with specialization in Accounting or Auditing; Certificate of Auditor given by the RA Ministry of Finance/ Association of Accountants and Auditors of Armenia (AAAA), or ACCA, CPA, CA is a significant advantage; Good knowledge of International Financial Reporting Standards (IFRS); Good knowledge of Armenian tax and labour legislation; Proven record of work experience in accounting and auditing; Knowledge of AS Accountant or other accounting software; Knowledge of English language, both spoken and written; Ability to meet deadlines with flexibility and professionalism; Solid audit work paper documentation skills, an analytical mind and problem solving abilities; Dedicated and client oriented approach to work; Ability to make decisions under pressure to complete the tasks in a timely manner; Strong team player with excellent verbal and written communication skills; Proven experience in maintaining client relationships would be a major asset; Extremely detail oriented and attentive personality; A high sense of responsibility, accuracy, commitment and a ""can do"" attitude.",Competitive,2018-09-13,2018-10-12,644,https://www.careercenter.am/ccdspann.php?id=32736,Finance & Consulting & Banking
39,"Institute of Economics after M. Kotanyan SNCO, NAS RA",Scientific Researcher,Full time,,"Permanent, with 3 months of probation period.","Yerevan, Armenia","Institute of Economics is looking for a Scientific Researcher in the field of economics, who will participate in and/ or manage economic research projects of the Institute.","Gather and analyze economic data, represent and report findings; Write scientific articles and publish them in local and international journals; Review scientific papers and write opinions; Participate in meeting and conferences.",PhD in Economics; Profound knowledge of micro and macro economic theories; Wide knowledge of economic research and survey sampling techniques; Excellent communication skills in both oral and written forms; Familiarity with econometric data analysis methods and tools is a plus.,,2018-09-13,2018-10-12,654,https://www.careercenter.am/ccdspann.php?id=32737,Finance & Consulting & Banking
40,Republic Square Boutique Hotel,Receptionist,,,,"Yerevan, Armenia",Republic Square Boutique Hotel is looking for a Receptionist.,Make room reservations and assignment; Make guest registration; Complete basic cashier and bookkeeping responsibilities; Receive payments by credit card or in cash; Responsible for guest room keys; Send and receive mail and messages; Set appointments; Responsible for filing and record keeping; Perform other job related tasks.,Higher education; Work experience in tourism; Fluency in Russian and English languages; Teamwork skills.,"100,000 AMD (Net), plus commissions from sales.",2018-09-13,2018-10-12,593,https://www.careercenter.am/ccdspann.php?id=32720,Admin & Clerical
41,Smithsonian Institution,"Marketing Specialist, Festivals Initiative",,,"01 October 2018 – 31 December 2018, with a possibility of extension.","Yerevan, Armenia","My Armenia is looking for a full time Marketing Specialist to join its Marketing team. Specifically, this individual will coordinate My Armenia's work with local festivals and provide marketing expertise to the newly formed FestivAr Association of Armenian Festivals and its eighteen members. FestivAr's mission is to coordinate, promote and support the development of sustainable festivals in Armenia.","Support My Armenia Marketing Activities: Serve as member of the My Armenia marketing team, sharing information about festival specific activities and integrating inputs from other team members where appropriate and where other skillsets from the team are needed; Serve as member of the My Armenia marketing team through involvement in, and by being knowledgeable on, all marketing activities being implemented by My Armenia and identifying areas of efficiency and integration for marketing activities of all components of the program; Support and advise on marketing planning activities for all My Armenia components (festivals, artisans, tourism products, museums); Support and advise on marketing campaign development activities for all My Armenia components (festivals, artisans, tourism products, museums); As needed, provide support for other aspects of My Armenia marketing efforts. Component Lead, Festivals Initiative: Represent My Armenia's Festivals Initiative at all staff and other relevant meetings; Oversee and ensure successful implementation of Festivals Initiative work laid out in the FY2019 work plan; Work with Smithsonian Technical Lead to develop a scope of work (SOW) for FestivAr FY2019 contract and to review and approve any related deliverables; Work with Smithsonian Technical Lead to develop SOW for photo and video documentation work and work with My Armenia Communications Specialist, FestivAr Executive Director and Smithsonian Technical Lead to review and approve any related deliverables; Work closely and coordinate activities with FestivAr's Executive Director; Liaise between local festivals, FestivAr and My Armenia team; Work with the My Armenia Communications Specialist to ensure Festivals Initiative work is shared widely on My Armenia platforms; Draft quarterly report sections related to Festivals Initiative; Work with the Monitoring and Evaluation (M&amp;E) Specialist to ensure data is collected and targets met for activities. Marketing Support for Festivals: Build relationships with each member of FestivAr; Develop a schedule to create marketing plans for each festival organized by a member of FestivAr; Work with festival organizers to create individual marketing plans for each festival; Support FestivAr to draft a proposal for in kind resources to design and print marketing materials related to individual festival marketing plans; On behalf of My Armennia, lead development of marketing materials for FestivAr members, working with designers and printers to accomplish the desired results; Provide coaching to festival organizers in the lead up to their festivals to successfully implement their marketing plans. Marketing Support for FestivAr: Support FestivAr's leadership and board in the implementation of the Organization's marketing plan; Working with FestivAr Executive Director, create content for and manage FestivAr's website and social media platforms, working toward building audience and membership; Attend outreach events with or on behalf of FestivAr to raise awareness of the Organization and its work. Deliverables: Quarterly activity plan; Overall schedule for marketing plan development for festivals; Individual marketing plans for each festival; Monthly reports on FestivAr's website and social media analytics; Other deliverables as assigned related to My Armenia's marketing needs.","Relevant Experience: the contractor must have experience providing services of similar scope and size, as demonstrated through: Bachelor's degree in Marketing or a related field; 2 5 years of providing marketing consulting services in Armenia domestically and internationally; Experience with event logistics and management; Experience with drafting and reporting on individual and organizational achievements; Strong, demonstrated project management skills and experience working with diverse and remote team members and other organizations; experience with USAID or internationally funded projects is preferred; Experience working with graphic designers and other vendors to create marketing materials; Experience in running social media platforms and/ or campaigns; Demonstrated ability to work well in a team environment; Strong organizational abilities; Ability to work independently with only periodic guidance to achieve assigned responsibilities based on work plans; Excellent interpersonal skills and relationship/ partnership management experience; Strong written and oral communication skills; Fluency in Armenian and English languages. Technical Competence: the contractor must provide a brief proposal narrative explaining how they anticipate carrying out the assignment and any relevant technical approach; the contractor must also submit a current CV. Price: the contractor must provide a quote containing a daily rate for services, a budget for all anticipated travel costs, and any other expenses required to carry out the assignment.",,2018-09-12,2018-09-25,865,https://www.careercenter.am/ccdspann.php?id=32734,Marketing & Advertisement
42,Smithsonian Institution,"Marketing Specialist, Artisan Initiative",Full time,,"01 October 2018 – 31 December 2018, with a possibility of extension.","Yerevan, Armenia","My Armenia is looking for a full time Marketing Specialist to join its Marketing team. Specifically, this individual will coordinate My Armenia's marketing work with artisan stakeholders across the country helping them to make connections with retailers and other partners to sell their products. The Marketing Specialist will also coordinate artisan participation in NYNOW, a wholesale trade show for handmade craft products in the United States, held in late January or early February 2019.","Support for My Armenia Marketing Activities: Serve as member of the My Armenia marketing team, sharing information about artisan specific activities and integrating inputs from other team members where appropriate and where other skill sets from the team are needed; Serve as member of the My Armenia marketing team through involvement in, and by being knowledgeable on, all marketing activities being implemented by My Armenia and identifying areas of efficiency and integration for marketing activities of all components of the program; Support and advise on marketing material development activities for all My Armenia components (artisans, festivals, tourism products, museums); Support and advise on market outreach and sales activities for all My Armenia components (artisans, festivals, tourism products, museums); As needed, provide support for other aspects of My Armenia marketing efforts. Marketing Support for Artisans: Build relationships with more than 50 artisan stakeholders in Vayots Dzor, Syunik, Lori, Shirak and Tavush regions; Work with artisan team to ensure artisan enterprises are properly registered; Review existing marketing materials and provide one on one mentorship to improve materials and approaches, utilizing design work and photography provided by My Armenia; Create basic inventory catalogs and line sheets of artisan craft products teaching artisans how to update these materials themselves (basics of taking photos, etc.); Work through cost and price structure with artisans and finalize wholesale, retail and consignment pricing structures; Train artisans in using social media platforms to promote their work; Build relationships with retailers and other market players in Yerevan and the regions who sell artisan craft; Make connections between artisans and retailers and assist artisans to create production plans to complete ordered work in a timely fashion. Improving Artisan Experience and Sales at Festivals: Liaise with FestivAr Association of Armenian Festivals on artisan needs at local festivals; Identify specific local festivals where artisans are attending and selling their products; Review their booth/ table set up, presentation and approach and suggest changes for improved merchandising, craft demonstration and sales. Preparation for NYNOW: Assist artisan team to select and prepare artisans for participating in NYNOW; Assist in development of branding the pavilion; Prepare marketing materials for artisans; Attend NYNOW in February 2019 to meet customers and represent artisans; Follow up with artisans on production plans and fulfillment of orders from NYNOW. Deliverables: Quarterly activity plan; Monthly reports on artisan market access.","Relevant Experience: the contractor must have experience providing services of similar scope and size, as demonstrated through: Bachelor's degree in Business, Sales, Marketing or a related field; 2 5 years providing marketing consulting services in Armenia domestically and internationally; Experience with drafting and reporting on individual and organizational achievements; Strong, demonstrated project management skills and experience working with diverse and remote team members and other organizations; experience with USAID or internationally funded projects is preferred; Experience working with or for retailers in Armenia; Experience working with graphic designers and other vendors to create marketing materials; Experience running social media platforms and/ or campaigns; Demonstrated ability to work well in a team environment; Strong organizational abilities; Ability to work independently with only periodic guidance to achieve assigned responsibilities based on work plans; Excellent interpersonal skills and relationship/ partnership management experience; Strong written and oral communication skills; Fluency in Armenian and English languages; Technical Competence: the contractor must provide a brief proposal narrative explaining how they anticipate carrying out the assignment and any relevant technical approach; the contractor should also provide a current CV. Price: the contractor must provide a quote containing a daily rate for services, a budget for all anticipated travel costs, and any other expenses required to carry out the assignment.",,2018-09-12,2018-09-25,557,https://www.careercenter.am/ccdspann.php?id=32727,Marketing & Advertisement
43,Evocabank CJSC,ATM and Terminals Service Specialist,,ASAP,"Long term, with a probation period","Yerevan, Armenia",ATM and Terminals Service Specialist will be responsible for servicing ATM or terminal infrastructure and payments instruments of the Bank.,"Organize the service infrastructure performance of ATMs and POS terminals in stores or service points, and assure the high level service of payment instruments of the Bank; Responsible for internal and external communication with stores, customers, providers, vendors and service points; Do research and make proposals on ATM and terminals service infrastructure expansions and improvements; Implement the regular servicing of the Bank ATMs and terminals, participate in recharging of ATMs with cash; Perform other job related duties as assigned.","Higher technical education; Work experience in servicing ATMs in a bank is a plus; Computer skills; experience in working with Armenian Software is a plus; Awareness of the Armenian banking legislation; Awareness of payment instruments service infrastructure through POS terminals; Strong interpersonal and communication skills, strong work ethics; Ability to work in a team; Problem solving and decision making skills, high sense of responsibility; Excellent knowledge of Armenian language; good knowledge of Russian and English languages is a plus.","Competitive, plus package of benefits, medical insurance and personal growth.",2018-09-12,2018-09-30,371,https://www.careercenter.am/ccdspann.php?id=32741,Other
44,Golden Palace Boutique Hotel,Deputy General Manager,,,,"Yerevan, Armenia","Golden Palace Boutique Hotel is looking for a Deputy General Manager to join its team. The ideal candidate should have an experience as a Deputy General Manager/ Operations Manager previously. The Hotel would also accept applications from driven and talented candidates who have an experience as a Front of House Manager and/ or Reception Manager, too. This could be an opportunity for someone who really wants to progress his/ her career. The Deputy General Manager should be an inspirational and hands on leader who can really get a team behind him/ her in the right way. He/ she should support in development and driving the teams to achieve a far above average level of guest satisfaction as well as team engagement. As such, the incumbent should be comfortable being a face of the business when it comes to guests and team alike.","Work in conjunction with the General Manager to actively manage key property issues (including capital projects, customer service, refurbishment); Manage the daily operations of the Hotel; Fully responsible for all aspects of all departments; Strategically plan, lead and develop all aspects of the business with the aim of achieving business success and profitability; Carry out a hands on, operational role within the Hotel, leading by example; Develop systems, policies and procedures that embody the culture of the Organization; Ensure that premises are in operative condition at all times in order to receive and serve the Hotel's guests; Manage Food and Beverage Operations in the absence of the relevant managers; Ensure that Standard Operating Procedures are continually upgraded and ensure high standards are practiced at all times; Ensure that all staff are always correctly and smartly dressed, and look presentable; ensure that every staff member offers professional and courteous service to the guests through regular training; In conjunction with the head of departments (HODs), ensure that every staff member is aware of and has received the correct training needed to carry out the use of operating equipment and machinery; Ensure that reports and administration requirements are timely submitted; In conjunction with the Human Resources, ensure that the causes of staff grievances are investigated and the appropriate action is taken; Be fully aware of trends in the industry and make suggestions for improvements; Carry out or ensure that regular 'On the Job Training' is taking place in accordance with agreed standards; Monitor and maintain operation and overhead cost in order to maintain maximum revenue for the Company; Be aware of emergency procedures, have full knowledge of fire procedures, and ensure that all staff and supervisors are also aware; Provide formal induction and training to new duty managers; Monitor closely Food and Beverage Gross Profit Margins and ensure targets are met; Ensure that costs are controlled throughout the operational departments and results are analyzed regularly to highlight problem areas and take appropriate action; Seek and respond to Guest feedback in order to achieve positive outcomes and high levels of customer satisfaction; Hold regular briefings and communication meetings with the HOD team.","Higher education; degree in a related discipline is preferred; Previous experience in a Senior Manager role in a 5* hotel (overseeing multiple departments); Extensive hotel operations experience; Demonstrated knowledge of budget planning and financial controls; In depth knowledge of the hotel/ leisure/ service sector; Enthusiasm about the operation with a hands on attitude; Strong leadership skills to effectively manage and motivate the team to achieve high level of performance and exceed targets; Computer literate in Microsoft Windows applications; Knowledge of Micros and Opera is preferred; Strong skills in English and Russian languages; Strong interpersonal and problem solving abilities; Highly responsible and reliable person; Ability to work well under pressure in a fast paced environment; Ability to work cohesively as part of a team; Ability to focus attention on guest needs, remaining calm and courteous at all times.",,2018-09-12,2018-10-11,1065,https://www.careercenter.am/ccdspann.php?id=32740,Management
45,ArtFlex Software GmbH,Software Developer,,,,"Yerevan, Armenia","ArtFlex Software is looking for a candidate for the position of Software Developer in Yerevan, with the chance to work at the Company subsidiary in Nordhalben, Germany.","Creat new plugins, extensions and programs based on the requirements; Maintain the plugin and give new releases with the requested implementation; Rework and update existing plugins; Write clean, performant code in accordance with Artflex team's code style guidelines; Work to improve and maintain the code health of all the Company software; Review code changes and test plans with QA and assist with identifying areas of risk; Design, code, and test plugins on Adobe products; Build applications that leverage internal data to meet various reporting requirements.","Excellent knowledge of C++; Excellent object oriented programming (OOP) skills; Ability to develop vector imaging, processing and editing tools; Familiarity with Adobe Illustrator SDK and Adobe InDesign SDK is desired; Experience with Qt and QML; Experience in using Git as source code control; Ability to work under tight deadlines; Skills in technical specification, diagraming and documentation writing, code commenting; Good knowledge of English language; knowledge of German language will be a plus.",Competitive,2018-09-12,2018-10-11,517,https://www.careercenter.am/ccdspann.php?id=32739,Information Technology
46,IQ Soft LLC,AngularJS Engineer,Full time,ASAP,Long term,"Yerevan, Armenia",IQ Soft LLC is looking for a highly motivated AngularJS Engineer to join its team to work on different high performance projects.,"Create clean, efficient and well documented code; Develop front end for responsive mobile and web UIs; Create interactive interface elements; Collaborate with product architect, design and other engineers to plan, build and ship product; Responsible for coding new designs and updating, standardizing and re factoring existing parts of the site; Work well both independently and as part of a team with a proactive attitude to problem solving.","At least 2 years of experience in JavaScript development in a professional environment; Excellent knowledge of JavaScript; Excellent knowledge of HTML5, CSS3 and AngularJS 2+; Ability to find solutions for challenges that are not faced before; Love and attention to details.",Competitive,2018-09-12,2018-10-11,364,https://www.careercenter.am/ccdspann.php?id=32696,Information Technology
47,Varks.am,Video Surveillance Specialist,Full time,ASAP,"Permanent, with a probation period of 3 months","Yerevan, Armenia","Varks.am is seeking a successful candidate for the position of Video Surveillance Specialist who will be responsible for operating and monitoring all cameras, will  ensure  all components of the surveillance equipment are operating according to standards and protocol and will provide reports concerning revealed issues.","Verify that all installed cameras are set up and broadcasting; Verify that all the video storage facilities are online and functioning; Responsible for monitoring and managing the overall camera system connectivity and network; Monitor all areas of the branches at all times, identifying potential security and/ or safety risks, suspicious or unusual activities occurring in the branches and reporting same to the Head of Unit for proper resolution; Support investigations with video review/ surveillance for theft, fraud and health and safety related matters; Collect and document information related to the identification of targets and related subjects; Prepare daily or weekly reports; Perform other job related tasks as assigned by the Head of the Unit.","Higher education in the technical field; Security experience is preferred; Knowledge of security policies, protocols as well as security standards for Physical Access control; Knowledge of emergency procedures and understanding of emergency plans; Knowledge of the functions of the operations centre policies and procedures; Knowledge of security equipment and the functionality; Familiarity with IT applications, systems and security controls; Knowledge of MS Office and software tools as applied to the position; Problem solving skills.",,2018-09-11,2018-09-23,476,https://www.careercenter.am/ccdspann.php?id=32733,Other
48,BG Solutions LLC,Data Analyst,Full time,ASAP,Permanent,"Yerevan, Armenia","BG Solutions LLC has an immediate need for a Data Analyst to support its data processes through the development of new reports, frameworks, dashboards, and other tools for the Company. This is a full time, on site position with a quarterly bonus. The ideal candidate should be eager to start helping the Company reach the next level.","Assess campaign performance and the efficiency of the model; Monitor the trend, identify potential problems and recommend solutions; Closely interact with the IT team to design/ improve data architecture; Identify optimization opportunities; Develop and implement custom predictive models and algorithms; Use predictive modeling to increase and optimize revenue generation and other business outcomes; Develop processes to monitor and analyze model performance and data accuracy.","Bachelor's degree in Mathematics or Computer Science; Knowledge of R, Python and SQL; Rigorous statistical intuition, deep understanding of core statistical principles, and extensive experience with core methods (e.g., linear regression, GLMs, random forest, dimensionality reduction, tree based models, bootstrapping, maximum likelihood estimation, and Bayesian modeling); Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.); Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications; Experience in creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.",,2018-09-11,2018-10-10,739,https://www.careercenter.am/ccdspann.php?id=32695,Finance & Consulting & Banking
49,VivaCell MTS,.NET Developer,Full time,,"Permanent, with 3 months of probation period","Yerevan, Armenia","The .NET Developer is responsible for the development of web based, VAS and Web distributed Applications. He/ she is also responsible for the development of applications to integrate existing vendor systems with each other and interfaces for 3rd parties to internal system as well as for the development and support of back end systems and applications.","Develop and evaluate new functional requirements; Test new products and modules interfaces and functionality; Maintain version control of all source code; Provide effort estimates and estimated delivery time; Assess risk and impact on the existing system that may arise due to any requirements or functional changes; Design database architecture based on project requirements; Develop store procedures and queries for applications; Test and deploy applications; Modify all existing web applications based on new business or technical requirements or changes; Develop and support the back end systems and applications along with their interfaces; Implement core modules; Support the developed VAS and Web applications as well as back end systems; Optimize the code in terms of application performance, consistency and availability.","Bachelor's degree in Information Technology; At least 3 years of work experience in IT software development; Experience in object oriented programming; Competent with C# ASP .NET Framework, ADO.NET and MVC; Strong knowledge of Web technologies including HTML5, CSS3, JS, AJAX, jQuery and Angular JS 1, 2+; Experience in building and using Web Services (REST/ SOAP/ XML RPC); Experience with databases: MS SQL and Transact SQL; Experience with IIS web server; Windows services, Multithreading, Network programming (sockets/ protocols) knowledge is a plus; Understanding of Telecom nodes, Billing systems and Network protocols; Good knowledge of Armenian, English and Russian (also technical) languages; Application/ service design and implementation skills; Ability to organize and manage multiple assignments within critical deadlines.","Competitive, compensation package and benefits, as well as various trainings for career advancement.",2018-09-11,2018-09-25,420,https://www.careercenter.am/ccdspann.php?id=32730,Information Technology
50,VivaCell MTS,PHP Web Developer,Full time,,"Permanent, with 3 months of probation period","Yerevan, Armenia","The PHP Web Developer is responsible for development of web based, VAS and Web distributed Applications. He/ she is also responsible for the development of applications to integrate existing vendor systems with each other and interfaces for 3rd parties to internal system as well as for the development and support of back end systems and applications.","Develop and evaluate new functional requirements; Test new products and modules interfaces and functionality; Maintain version control of all source code; Provide effort estimates and estimated delivery time; Assess risk and impact on the existing system that may arise due to any requirements or functional changes; Design database architecture based on project requirements; Develop store procedures and queries for applications; Test and deploy applications; Modify all existing web applications based on new business or technical requirements or changes; Develop and support the back end systems and applications along with their interfaces; Implement core modules; Support the developed VAS and Web applications as well as back end systems; Optimize the code in terms of application performance, consistency and availability.","Bachelor's degree in Information Technology; At least 3 years of work experience in IT (at least 2 years in Web Development); Strong knowledge of Web technologies including HTML5, CSS3, JS, AJAX and jQuery; Experience in PHP backend development using OOP and MVC (Zend, Laravel frameworks are preferred); Experience in building and using Web Services (REST/ SOAP/ XML RPC); Knowledge of AngularJS is a big plus; Experience with databases: MySQL, Transact SQL, PL SQL as well as DB Architecture Design skills; Network programming (sockets/ protocols) knowledge is preferable; Experience with Unix/ Linux platform; Understanding of Telecom nodes and Billing systems is a big plus; Application/ service design and implementation skills; Good knowledge of Armenian, English and Russian (also technical) languages; Ability to organize and manage multiple assignments within critical deadlines.","Competitive, plus compensation package and benefits, as well as various trainings for career advancement.",2018-09-11,2018-09-25,417,https://www.careercenter.am/ccdspann.php?id=32731,Information Technology
51,Pragmatix Development,Senior Angular Developer,Full time,,,"Yerevan, Armenia","Pragmatix Development is looking for a Senior Angular Developer, who is enthusiastic about solving complex user experience problems, has a design centric eye, positive attitude and eagerness to learn from customers.",,"At least 1 year of Angular 2, Angular 4 and Angular 6 development experience; At least 3 years of experience with JavaScript; Experience with Git; At least 2 years of experience in working with Bootstrap, Material, or other mobile first responsive CSS framework.",Competitive,2018-09-11,2018-10-10,301,https://www.careercenter.am/ccdspann.php?id=32719,Information Technology
52,Digitain LLC,Account Manager,Full time,ASAP,Permanent,"Yerevan, Armenia","Digitain LLC is looking for a dynamic, high performing and experienced Account Manager to join its awesome team. The ideal candidate is customer oriented with a 'can do' attitude, proactive and passionate about the Company products. He/ she has a drive for achieving goals and maintaining a great customer experience. The incumbent should be resourceful, analytical, adaptable, and organized with the ability to build rapport with clients. The Account Manager will act as a main point of contact for the Company's partners with a key focus on account growth, partner satisfaction and prioritization of partners' needs at a high standard. He/ she will maintain and strengthen long term, trusting and mutually beneficial relationships with the partners, connect with key business executives and stakeholders, identify and develop new business opportunities. Ultimately, to succeed in this position, he/ she should collaborate with the sales team to achieve quotas while keeping the partners satisfied and engaged with the Company's products and services in the long run.","Build, develop and maintain strong, long lasting and trusted advisor relationships with the Company's partners, stakeholders and executive sponsors; Act as a primary point of reference and business consultant for assigned partners through email, phone, online presentations and in person meetings; Communicate with partners at a senior level to resolve issues and inquiries; Adhere to the highest professional standards while managing partners' accounts; Collaborate with the Sales team to onboard and integrate new partners, and develop existing relationships; Focus on ensuring the team maintains superior customer service levels, operational excellence and strategic insight; Manage projects within client relationships, carry out client goals while meeting company goals; Drive client retention, renewals, upsells and client satisfaction; Identify and develop new businesses, existing business growth opportunities with the Company partners and/ or identify areas of improvement ; Manage partners' challenging requests and/ or issues escalation to appropriate departments; Actively communicate with relevant departments, ensure the timely and successful delivery of solutions according to partners' needs and objectives Resolve complaints and prevent additional issues by improving processes; Enhance the Department's and Organization's reputation by accepting ownership for accomplishing new and different requests, exploring opportunities to add value to job accomplishments; Monitor and analyze customers' usage of the Company's product; Collect and analyze data to learn more about partners' behavior; Forecast and track client account metrics; Make suggestions for improvement to senior staff; Stay up to date with Company products and services, identify industry trends; Provide input on new processes and workflows as needed; Update job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.","Bachelor's degree in a related field; At least 3 years of proven account management or customer service related experience; Experience in the gaming industry will be considered as a big plus; Advanced knowledge of Armenian language and excellent knowledge of English and Russian languages; Demonstrated ability to communicate, present and influence credibly and effectively at all levels of the organization, including executive; Experience in delivering client focused solutions based on customer needs; Proven ability to manage multiple projects at a time while paying strict attention to details; Excellent listening, negotiation and presentation skills; Excellent verbal and written communications skills; Self motivated individual with the ability to thrive in a results driven environment; Ability to work under high pressure; Natural relationship builder with integrity, reliability and maturity; Ability to prioritize among competing tasks; Critical thinking and problem solving skills; Excellent time and project management skills.",Competitive,2018-09-11,2018-10-07,761,https://www.careercenter.am/ccdspann.php?id=32732,Management
53,Ucom LLC,Call Center Specialist,Full time,Immediately,Permanent,"Yerevan, Armenia",Ucom LLC is looking for a Call Center Specialist. The incumbent will handle the customers' requests related to the Company's services and products and satisfy their needs with applicable and reliable solution for the requests and existing problems.,"Answer customers' inquiries through incoming call/ email/ chat providing general information (offers, services, tariff plans, promotion, etc.), reply to balance and invoice queries, inform the customer about the status of the registered trouble tickets and provide technical support in case of necessity; Fix customer problems at first contact and upon necessity identify and escalate priority issues to Troubleshooting team for further solution; Satisfy the customer by finding an appropriate and reliable solution to his/ her demand and develop loyalty by advice, speech, knowledge and action; Apply retention and customer loyalty during all conversation prioritizing customer's needs and requests; Research required information using available resources; Participate in new product/ services trainings if necessary out of working hours; Follow rules established at Call Center watching the time of lunch and break; Make outbound calls as assigned; Perform other job related tasks as assigned.","Bachelor's degree; At least 1 year of work experience in help line or customer services related fields; Availability for day, evening and night shift work; Availability to work on weekends; Readiness for accepting comments regarding call handling skills; Excellent oral expression skills; Teamwork skills; Listening skills; Stress resistance; Customer centric personality; Familiarity with mobile devices; Knowledge of MS Office (Word, Excel, Power Point, Outlook) and Internet navigation skills; Advanced level of Armenian and English languages; excellent knowledge of Russian language.",,2018-09-11,2018-10-10,807,https://www.careercenter.am/ccdspann.php?id=32728,Other
54,Varks.am,Quality Control Team Leader,Full time,ASAP,"Permanent, with a probation period of 3 months.","Yerevan, Armenia","Varks.am is looking for a highly professional, energetic and enthusiastic Quality Control Team Leader who will work with various internal departments to assess and improve processes, lead and supervise all activities associated with their quality control stream and ensure all the relevant activities comply with regulatory requirements. The ideal candidate must have a can do attitude, great communication skills and a good eye for detail.","Develop and execute quality control procedures; Assess and appraise the work of Quality Control staff; Assure continuous staff training and development; Perform and lead quality control engagements based on comprehensive programs to assess customer care quality, adherence to internal and external regulations and employee competence and awareness; Make planned and unexpected engagements and asses the work of all Yerevan and regional branches, Contact Center and other functional departments within the scope of quality control; Collect, analyze, asses and document observations to support engagement results; Present reports to the Management in Armenian and English languages; Make recommendations for process and quality improvements to the Management; Assure all quality control findings are thoroughly investigated and effective corrective and preventive action plans are defined; Maintain complete database of all observations, recommendations and agreed actions, and perform ongoing follow up on the implementation of action plans; Maintain and protect all sensitive data utilizing the highest standard of confidentiality and professionalism; Display mutual respect, trust and dignity; act in the best interest of the Company; Control risk and manage duties and tasks in a safe and sound manner; Coordinate and cooperate with internal/ external auditors or examiners with interim and year end audit work as assigned; assist in preparing or gathering information as requested; Maintain a general knowledge of all Company's products and services, as well as the activities of the departments.","Higher education in Finance, Economics or Business Administration; At least 2 years of experience as a Quality Control Team Leader; Proficiency in quality assurance system; General awareness of risk management; Ability to adapt and to change in the workplace and demonstrate flexibility with new ideas and different environments; Excellent computer skills and knowledge of MS Office; Excellent knowledge of Armenian, Russian and English languages.",,2018-09-11,2018-09-23,615,https://www.careercenter.am/ccdspann.php?id=32725,Admin & Clerical
55,Ovak Technologies LLC,Front end Web Developer,Full time,ASAP,Long term,Armenia,Ovak Technologies LLC is looking for a talented and experienced Front end Web Developer who wants to join its team in developing the SAAS systems for the global oil and gas industry. The candidate will work on the new products development from scratch.,Work in an Agile team of 10 developers in Company's Armenian headquarter; Write robust code and build generic libraries for future use; Make design and technology choices or even become a team lead based on the experience.,"Strong knowledge of TypeScript and Angular2 and higher, with at least 3 years of experience in a similar position; Enthusiasm to learn and adapt the newest technologies; Ability to design, develop and maintain the web application from scratch; Excellent communication skills to interact with the development team members as well as with professionals from other areas (engineers, physicists and businessmen); Excellent analytical, problem detecting and problem solving skills; Experience in working with UI/ UX design system. Experience in working on Dashboard type applications is preferable.",Highly competitive,2018-09-10,2018-10-09,649,https://www.careercenter.am/ccdspann.php?id=32712,Information Technology
